timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-01-30T00:00:00.000Z";"2025-01-30T23:59:59.999Z";"2025-01-30T15:13:00.000Z";"2025-01-30T00:32:00.000Z";"2781";103709.3387991247;106418.7666945693;103321.6450644576;104735.3028391485;41915744521.36;2075653153142.54;"2025-01-30T23:59:59.999Z"
"2025-01-29T00:00:00.000Z";"2025-01-29T23:59:59.999Z";"2025-01-29T20:34:00.000Z";"2025-01-29T00:01:00.000Z";"2781";101317.5272532106;104750.8072420015;101283.8227095721;103703.2111924169;47432049817.95;2055183543946.32;"2025-01-29T23:59:59.999Z"
"2025-01-28T00:00:00.000Z";"2025-01-28T23:59:59.999Z";"2025-01-28T15:32:00.000Z";"2025-01-28T22:01:00.000Z";"2781";102095.417582976;103730.8210612241;100238.1881368375;101332.4762208059;47180685494;2007518100049.64;"2025-01-28T23:59:59.999Z"
"2025-01-27T00:00:00.000Z";"2025-01-27T23:59:59.999Z";"2025-01-27T00:11:00.000Z";"2025-01-27T07:31:00.000Z";"2781";102680.3035909706;103214.110459846;97795.9361021666;102087.6913350177;89006608427.88;2023052943646.03;"2025-01-27T23:59:59.999Z"
"2025-01-26T00:00:00.000Z";"2025-01-26T23:59:59.999Z";"2025-01-26T04:27:00.000Z";"2025-01-26T23:56:00.000Z";"2781";104713.2132299644;105438.6445345296;102507.711729671;102682.4970331773;22543395879.45;2034705019960.93;"2025-01-26T23:59:59.999Z"
"2025-01-25T00:00:00.000Z";"2025-01-25T23:59:59.999Z";"2025-01-25T18:33:00.000Z";"2025-01-25T10:10:00.000Z";"2781";104824.0336788709;105243.7906021354;104120.3768049614;104714.6453663176;23888996501.99;2074559479001.94;"2025-01-25T23:59:59.999Z"
"2025-01-24T00:00:00.000Z";"2025-01-24T23:59:59.999Z";"2025-01-24T18:29:00.000Z";"2025-01-24T03:26:00.000Z";"2781";103965.6697206428;107098.5451631159;102772.1241731584;104819.4844854964;52388229265.3;2076961712719;"2025-01-24T23:59:59.999Z"
"2025-01-23T00:00:00.000Z";"2025-01-23T23:59:59.999Z";"2025-01-23T16:16:00.000Z";"2025-01-23T10:45:00.000Z";"2781";103657.674563574;106820.3288084091;101257.8031755016;103960.1716372268;104104515428.06;2059818861176.53;"2025-01-23T23:59:59.999Z"
"2025-01-22T00:00:00.000Z";"2025-01-22T23:59:59.999Z";"2025-01-22T01:07:00.000Z";"2025-01-22T16:46:00.000Z";"2781";106136.3833471013;106294.3401357715;103360.2693116155;103653.0692422291;53878181052.37;2053851084717.98;"2025-01-22T23:59:59.999Z"
"2025-01-21T00:00:00.000Z";"2025-01-21T23:59:59.999Z";"2025-01-21T18:41:00.000Z";"2025-01-21T01:31:00.000Z";"2781";102052.5752511938;107180.9248951009;100103.9558070991;106146.2630067343;88733878242.01;2102915931217.31;"2025-01-21T23:59:59.999Z"
"2025-01-20T00:00:00.000Z";"2025-01-20T23:59:59.999Z";"2025-01-20T06:56:00.000Z";"2025-01-20T00:42:00.000Z";"2781";101083.753465156;109114.8848340883;99471.3589402134;102016.6622807587;126279678351.02;2021959305140.74;"2025-01-20T23:59:59.999Z"
"2025-01-19T00:00:00.000Z";"2025-01-19T23:59:59.999Z";"2025-01-19T21:00:00.000Z";"2025-01-19T23:41:00.000Z";"2781";104411.286795273;106299.7985288669;99570.5311832792;101089.6064983213;76789928525.09;2002715800503.2;"2025-01-19T23:59:59.999Z"
"2025-01-18T00:00:00.000Z";"2025-01-18T23:59:59.999Z";"2025-01-18T15:55:00.000Z";"2025-01-18T08:11:00.000Z";"2781";104124.9545762088;104913.2062143758;102226.6203345545;104408.0673030506;50445655725.64;2068581942437.74;"2025-01-18T23:59:59.999Z"
"2025-01-17T00:00:00.000Z";"2025-01-17T23:59:59.999Z";"2025-01-17T20:01:00.000Z";"2025-01-17T00:04:00.000Z";"2781";100025.7650552685;105884.230447798;99948.9050642389;104462.0426222178;71888972662.9;2069344681719.56;"2025-01-17T23:59:59.999Z"
"2025-01-16T00:00:00.000Z";"2025-01-16T23:59:59.999Z";"2025-01-16T00:03:00.000Z";"2025-01-16T15:03:00.000Z";"2781";100505.2987263067;100781.5890950225;97364.4430844998;99756.9090981947;54103781804.71;1975939538073.53;"2025-01-16T23:59:59.999Z"
"2025-01-15T00:00:00.000Z";"2025-01-15T23:59:59.999Z";"2025-01-15T20:22:00.000Z";"2025-01-15T00:05:00.000Z";"2781";96534.0459693992;100697.2343634354;96501.6443933864;100504.493441195;57805923627.33;1991112409561.28;"2025-01-15T23:59:59.999Z"
"2025-01-14T00:00:00.000Z";"2025-01-14T23:59:59.999Z";"2025-01-14T09:54:00.000Z";"2025-01-14T00:46:00.000Z";"2781";94519.0071414979;97352.6647477847;94322.154503832;96534.0442146476;53769675817.65;1912474167256.74;"2025-01-14T23:59:59.999Z"
"2025-01-13T00:00:00.000Z";"2025-01-13T23:59:59.999Z";"2025-01-13T00:38:00.000Z";"2025-01-13T14:37:00.000Z";"2781";94488.8921736814;95837.0002259194;89260.1001886086;94516.5256268428;72978998252.04;1872375406197.59;"2025-01-13T23:59:59.999Z"
